variable,sort_type,modes,chi2
7.50,hist,1,0.00
7.50,hist,2,0.00
7.50,hist,3,0.00
7.50,hist,4,0.00
7.50,hist,5,0.00
7.50,hist,6,0.00
7.50,hist,7,0.00
7.50,hist,8,0.00
7.50,hist,9,0.00
7.50,hist,10,0.00
7.50,hist,11,0.00
7.50,hist,12,0.00
7.50,hist,13,0.00
7.50,hist,14,0.00
7.50,hist,15,0.00
7.50,hist,16,0.00
7.50,hist,17,0.06
7.50,hist,18,0.25
7.50,hist,19,0.56
7.50,hist,20,1.00
7.50,hist,21,1.56
7.50,hist,22,2.25
7.50,hist,23,3.06
7.50,hist,24,4.00
7.50,hist,25,5.06
7.50,hist,26,6.25
7.50,hist,27,7.56
7.50,hist,28,9.00
7.50,hist,29,10.56
7.50,hist,30,12.25
7.50,hist,31,14.06
7.50,hist,32,16.00
7.50,hist,33,18.06
7.50,hist,34,20.25
7.50,hist,35,22.56
7.50,hist,36,25.00
7.50,hist,37,25.00
7.50,hist,38,25.00
7.50,hist,39,25.00
7.50,hist,40,25.00
7.50,hist,41,25.00
7.50,hist,42,25.00
7.50,hist,43,25.00
7.50,hist,44,25.00
7.50,hist,45,25.00
7.50,hist,46,25.00
7.50,hist,47,25.00
7.50,hist,48,25.00
7.50,hist,49,25.00
7.50,hist,50,25.00
7.50,hist,51,25.00
7.50,hist,52,25.00
7.50,hist,53,35.03
7.50,hist,54,34.00
7.50,hist,55,33.03
7.50,hist,56,32.11
7.50,hist,57,31.25
7.50,hist,58,30.44
7.50,hist,59,29.69
7.50,hist,60,29.00
7.50,hist,61,28.36
7.50,hist,62,27.78
7.50,hist,63,27.25
7.50,hist,64,26.78
7.50,hist,65,26.36
7.50,hist,66,26.00
7.50,hist,67,25.69
7.50,hist,68,25.44
7.50,hist,69,25.25
7.50,hist,70,25.11
7.50,hist,71,25.03
7.50,hist,72,25.00
7.50,hist,73,25.03
7.50,hist,74,25.11
7.50,hist,75,25.25
7.50,hist,76,25.44
7.50,hist,77,25.69
7.50,hist,78,26.00
7.50,hist,79,26.36
7.50,hist,80,26.78
7.50,hist,81,27.25
7.50,hist,82,27.78
7.50,hist,83,28.36
7.50,hist,84,29.00
7.50,hist,85,29.69
7.50,hist,86,30.44
7.50,hist,87,31.25
7.50,hist,88,32.11
7.50,hist,89,33.03
7.50,hist,90,33.03
7.50,hist,91,33.03
7.50,hist,92,33.03
7.50,hist,93,33.03
7.50,hist,94,33.03
7.50,hist,95,33.03
7.50,hist,96,33.03
7.50,hist,97,33.03
7.50,hist,98,33.03
7.50,hist,99,33.03
7.50,hist,100,33.03
7.50,hist,1253,1122.62
8.00,hist,1,0.00
8.00,hist,2,0.00
8.00,hist,3,0.00
8.00,hist,4,0.00
8.00,hist,5,0.00
8.00,hist,6,0.00
8.00,hist,7,0.00
8.00,hist,8,0.00
8.00,hist,9,0.00
8.00,hist,10,0.00
8.00,hist,11,0.00
8.00,hist,12,0.00
8.00,hist,13,0.00
8.00,hist,14,0.00
8.00,hist,15,0.00
8.00,hist,16,0.00
8.00,hist,17,0.06
8.00,hist,18,0.25
8.00,hist,19,0.56
8.00,hist,20,1.00
8.00,hist,21,1.56
8.00,hist,22,2.25
8.00,hist,23,3.06
8.00,hist,24,4.00
8.00,hist,25,5.06
8.00,hist,26,6.25
8.00,hist,27,7.56
8.00,hist,28,9.00
8.00,hist,29,10.56
8.00,hist,30,12.25
8.00,hist,31,12.25
8.00,hist,32,12.25
8.00,hist,33,12.25
8.00,hist,34,12.25
8.00,hist,35,12.25
8.00,hist,36,12.25
8.00,hist,37,12.25
8.00,hist,38,12.25
8.00,hist,39,12.25
8.00,hist,40,12.25
8.00,hist,41,12.25
8.00,hist,42,12.25
8.00,hist,43,12.25
8.00,hist,44,12.25
8.00,hist,45,12.25
8.00,hist,46,12.25
8.00,hist,47,12.25
8.00,hist,48,12.25
8.00,hist,49,12.25
8.00,hist,50,12.25
8.00,hist,51,12.25
8.00,hist,52,12.25
8.00,hist,53,16.94
8.00,hist,54,16.25
8.00,hist,55,15.61
8.00,hist,56,15.03
8.00,hist,57,14.50
8.00,hist,58,14.03
8.00,hist,59,13.61
8.00,hist,60,13.25
8.00,hist,61,12.94
8.00,hist,62,12.69
8.00,hist,63,12.50
8.00,hist,64,12.36
8.00,hist,65,12.28
8.00,hist,66,12.25
8.00,hist,67,12.28
8.00,hist,68,12.36
8.00,hist,69,12.50
8.00,hist,70,12.69
8.00,hist,71,12.94
8.00,hist,72,13.25
8.00,hist,73,13.61
8.00,hist,74,14.03
8.00,hist,75,14.50
8.00,hist,76,15.03
8.00,hist,77,15.61
8.00,hist,78,16.25
8.00,hist,79,16.94
8.00,hist,80,17.69
8.00,hist,81,18.50
8.00,hist,82,19.36
8.00,hist,83,20.28
8.00,hist,84,21.25
8.00,hist,85,22.28
8.00,hist,86,23.36
8.00,hist,87,24.50
8.00,hist,88,24.50
8.00,hist,89,24.50
8.00,hist,90,24.50
8.00,hist,91,24.50
8.00,hist,92,24.50
8.00,hist,93,24.50
8.00,hist,94,24.50
8.00,hist,95,24.50
8.00,hist,96,24.50
8.00,hist,97,24.50
8.00,hist,98,24.50
8.00,hist,99,24.50
8.00,hist,100,24.50
8.00,hist,1253,1397.31
8.50,hist,1,0.00
8.50,hist,2,0.00
8.50,hist,3,0.00
8.50,hist,4,0.00
8.50,hist,5,0.00
8.50,hist,6,0.00
8.50,hist,7,0.00
8.50,hist,8,0.00
8.50,hist,9,0.00
8.50,hist,10,0.00
8.50,hist,11,0.00
8.50,hist,12,0.00
8.50,hist,13,0.00
8.50,hist,14,0.00
8.50,hist,15,0.00
8.50,hist,16,0.00
8.50,hist,17,0.06
8.50,hist,18,0.25
8.50,hist,19,0.56
8.50,hist,20,1.00
8.50,hist,21,1.56
8.50,hist,22,2.25
8.50,hist,23,3.06
8.50,hist,24,4.00
8.50,hist,25,5.06
8.50,hist,26,6.25
8.50,hist,27,7.56
8.50,hist,28,9.00
8.50,hist,29,10.56
8.50,hist,30,10.56
8.50,hist,31,10.56
8.50,hist,32,10.56
8.50,hist,33,10.56
8.50,hist,34,10.56
8.50,hist,35,10.56
8.50,hist,36,10.56
8.50,hist,37,10.56
8.50,hist,38,10.56
8.50,hist,39,10.56
8.50,hist,40,10.56
8.50,hist,41,10.56
8.50,hist,42,10.56
8.50,hist,43,10.56
8.50,hist,44,10.56
8.50,hist,45,10.56
8.50,hist,46,10.56
8.50,hist,47,10.56
8.50,hist,48,10.56
8.50,hist,49,10.56
8.50,hist,50,10.56
8.50,hist,51,10.56
8.50,hist,52,10.56
8.50,hist,53,14.56
8.50,hist,54,13.92
8.50,hist,55,13.34
8.50,hist,56,12.81
8.50,hist,57,12.34
8.50,hist,58,11.92
8.50,hist,59,11.56
8.50,hist,60,11.26
8.50,hist,61,11.01
8.50,hist,62,10.81
8.50,hist,63,10.67
8.50,hist,64,10.59
8.50,hist,65,10.56
8.50,hist,66,10.59
